analysis,rr,ci_lower,ci_upper,p_value,i2_pct,tau2
Primary - MH exact random-effects (k = 15),1.3206535077565982,0.955715762483828,1.8249418456978939,0.08638472438017085,40.534925854718736,0.06805579759460877
Primary - MH exact common-effect (k = 15),1.490979749580127,1.2359175660594857,1.7986803284508235,3.010528669653395e-5,NA,NA
Sensitivity 1 - excluding single-zero (k = 12),1.289326414536568,0.9492327279197743,1.751269793304281,0.09501098611177088,38.07220248068707,0.06911463091954162
Sensitivity 2 - IV + Cochrane CC (k = 15),1.3206532018613248,0.9557186505312111,1.8249354855816022,0.08638211467162787,40.534008491999735,0.06805521927196302
Exploratory - excluding two high-weight studies (k = 13),1.186348138127103,0.8247560514414446,1.7064705404438822,0.3259825615212947,20.27033930260703,1.4607392641372667e-6
